variant,2022_ret%,2022_mdd%,2022_tr,2325_ret%,2325_mdd%,2325_tr,2026_ret%,2026_mdd%,2026_tr
v00_base,-1.93370548830204,-9.587998674903131,933,10.089481436476543,-10.570935124053538,3125,3.568106058008813,-6.076057050108908,110
v01_break_close_buf,0.4820585976151648,-5.278600616177043,676,22.30681134887833,-4.71819071977666,2198,1.5920388573013255,-6.262611739898261,77
v02_break_close_buf_body,-2.4343671879009543,-4.688865811137466,607,25.194014863951853,-4.1963105187244,1944,1.9231961813118703,-5.656785807835806,68
v03_break_close_buf_body_impulse,0.001052755120745097,-4.020247137564792,499,25.354972891309878,-5.236379992329276,1562,-0.1740466326538681,-6.041945651710678,54
v04_pullback_timeout_6,1.0167981551399752,-4.63864976486259,474,7.622680722223296,-5.825812436699751,1622,4.092451765096583,-4.5745732204164895,50
v05_no_reentry_range,-2.325266259739023,-5.832430120673104,452,11.790429882913433,-5.06798557875684,1469,3.9369761462952013,-4.382395733993794,49
v06_entry_2step,2.4634835240361808,-8.489339957068609,889,-3.003782563415325,-14.740195730061533,2874,1.8445725458673623,-5.155640915325588,104
v07_chop_filter,-0.23245633809833022,-8.283462712335076,910,9.327635952640744,-10.280909363240964,3049,3.579775176418476,-6.076057050109085,107
v08_htf_15m,-0.875394609644986,-7.912276287966813,782,21.001438548431505,-5.856101005459791,2698,-1.850124224028582,-6.076057050109118,98
v09_adaptive_n,-1.7703378597995645,-9.170155936801672,879,9.806311916577236,-9.502819978909027,3012,4.391318205190542,-3.205052580336898,105
v10_combo,1.5997530613006905,-0.8307515522376185,66,8.747291273074653,-1.1025106576402988,172,0.08070430636770709,-0.825660805945716,4
