iter,score,final_equity,cagr,vol,sharpe,max_drawdown,logic,w1,a1,flb1,mf1,w2,a2,flb2,mf2
163,30.805091330338833,2.1622034070068072,0.32075604897621735,0.09385556985448051,3.011090825431139,-0.055521179599969495,or,50,0.25,100,1,75,0.2,50,4
648,30.738550154421738,2.1593181595609003,0.3201199393295444,0.09387902700171258,3.0052304029315473,-0.055521179599969495,or,50,0.25,25,1,100,0.25,75,2
244,30.70403453067578,2.155620791846398,0.31930398703518326,0.09389952377558251,2.9980104193267905,-0.054507387650118866,or,50,0.2,50,1,25,0.05,50,1
228,30.68727386467829,2.157095321214637,0.31962950019551806,0.09389539059625591,3.000765650249916,-0.055521179599969495,or,50,0.25,50,2,50,0.2,25,2
164,30.659427106647282,2.153687874648919,0.3188770657513309,0.09391195132566409,2.994179828040267,-0.054507387650118866,or,50,0.2,50,1,25,0.05,25,0
137,30.637566470136495,2.1527443282519645,0.31866857673840876,0.09392296989214936,2.992156357603116,-0.054507387650118866,or,50,0.2,75,4,25,0.05,50,2
109,30.633534114321314,2.154748986517384,0.31911146266378476,0.09388537491016856,2.9968936558826273,-0.055521179599969495,or,75,0.25,100,8,25,0.25,100,0
370,30.632188690954322,2.1546919892887466,0.31909887399643533,0.0938876856645719,2.9967205426185224,-0.055521179599969495,or,50,0.25,75,0,25,0.2,75,8
237,30.627290696322547,2.1544241822412307,0.31903972206301856,0.09380649562460573,2.9987549400383324,-0.055521179599969495,or,25,0.15,50,1,50,0.1,100,2
614,30.62078963723286,2.154216890006027,0.3189939331233427,0.09391883775660317,2.9949106097941307,-0.055521179599969495,or,50,0.25,75,8,50,0.25,50,8
635,30.62078963723286,2.154216890006027,0.3189939331233427,0.09391883775660317,2.9949106097941307,-0.055521179599969495,or,50,0.25,25,6,50,0.2,25,4
52,30.597424482973175,2.153203521943446,0.3187700489318115,0.09392356856075018,2.992957139580998,-0.055521179599969495,or,50,0.2,25,8,25,0.05,75,4
645,30.587518132947288,2.152507340713207,0.3186162020403027,0.09352986038043686,3.003913817830982,-0.055521179599969495,or,25,0.15,50,0,100,0.2,50,1
470,30.583600643229893,2.152618759971494,0.3186408263679936,0.09394820202159586,2.9911539728580148,-0.055521179599969495,or,25,0.2,50,4,200,0.2,25,0
323,30.583600643229893,2.152618759971494,0.3186408263679936,0.09394820202159586,2.9911539728580148,-0.055521179599969495,or,25,0.15,50,4,150,0.15,25,0
296,30.581489098121587,2.151950334508199,0.31849308809203336,0.0938696489174579,2.992384856326147,-0.055280242784896405,or,25,0.15,50,8,25,0.2,75,6
227,30.57619288610588,2.152285231669118,0.31856711217164757,0.09393126274373673,2.9910812978791887,-0.055521179599969495,or,50,0.25,100,8,50,0.15,50,8
307,30.57619288610588,2.152285231669118,0.31856711217164757,0.09393126274373673,2.9910812978791887,-0.055521179599969495,or,50,0.25,100,8,50,0.15,25,1
611,30.566460973778458,2.14966396593193,0.3179875231739526,0.0939392069774396,2.9861560777782783,-0.054507387650118866,or,50,0.25,75,6,25,0.1,25,2
389,30.54876443289767,2.1511094056398945,0.318307180698304,0.09395630857097903,2.988210686131484,-0.055521179599969495,or,50,0.25,75,6,150,0.25,25,8
398,30.54876443289767,2.1511094056398945,0.318307180698304,0.09395630857097903,2.988210686131484,-0.055521179599969495,or,50,0.25,50,6,150,0.25,50,2
678,30.537875103942426,2.1505947555159444,0.31819338209036174,0.09389465519037392,2.989191749809445,-0.055521179599969495,or,25,0.15,100,6,75,0.2,25,6
183,30.533760632847347,2.1504360766150996,0.318158291755942,0.09392474226639193,2.9879808745032346,-0.055521179599969495,or,50,0.2,25,2,75,0.25,50,2
98,30.533760632847347,2.1504360766150996,0.318158291755942,0.09392474226639193,2.9879808745032346,-0.055521179599969495,or,50,0.2,75,8,75,0.25,25,6
475,30.52951959621437,2.1502747165596445,0.3181226068122398,0.09395905806522,2.986635789977725,-0.055521179599969495,or,50,0.25,25,6,200,0.25,100,6
232,30.51451760479418,2.1496016488048832,0.317973738715563,0.09392749268301742,2.9864054264727136,-0.055521179599969495,or,50,0.2,25,1,25,0.25,25,4
253,30.509802281050526,2.1493102187570017,0.3179092714195759,0.09379829101875194,2.989868238182814,-0.055521179599969495,or,25,0.05,25,0,100,0.25,25,1
539,30.509488408472386,2.1488461196762416,0.31780659643888054,0.09390713933901647,2.9856818076583087,-0.055280242784896405,or,25,0.1,75,4,25,0.2,100,8
668,30.508059076029582,2.14893867882055,0.3178270748968002,0.09335922930900648,3.002821132696071,-0.055521179599969495,or,25,0.2,100,0,75,0.25,75,4
213,30.500623280134896,2.14878492668455,0.31779305734695895,0.09360995342545081,2.9947530508749534,-0.055521179599969495,or,25,0.1,75,0,200,0.25,75,1
188,30.489191514104164,2.148507808484538,0.31773174121432524,0.09393716645186276,2.9841527453402192,-0.055521179599969495,or,50,0.2,75,4,50,0.1,100,8
469,30.489191514104164,2.148507808484538,0.31773174121432524,0.09393716645186276,2.9841527453402192,-0.055521179599969495,or,50,0.2,100,6,50,0.15,100,8
