iter,score,final_equity,cagr,vol,sharpe,max_drawdown,fast,slow,ema_fast,ema_slow,atr_n,sep_k,nochop_ema,nochop_lookback,nochop_min,htf_slope_on,htf_slope_ema,htf_slope_window,htf_slope_atr_mult,base_slope_on,base_slope_ema,base_slope_window
685,2.8573221858723556,2.140498084574276,0.31595729281200646,0.09398434160981559,2.9683645450722946,-0.055521179599969495,30,75,50,250,14,0.15,15,20,12,False,100,10,0.015,True,100,30
616,2.7366249432013534,2.275527451242198,0.34532314512432927,0.10499166483583275,2.8777983626678556,-0.0705867097332511,15,150,20,120,14,0.25,30,25,13,True,30,10,0.04,True,200,10
187,2.7216935479380693,2.116835116187308,0.310690153634654,0.09677068993317166,2.844199228957357,-0.06125284050964397,20,150,50,250,14,0.35,30,15,11,True,100,4,0.03,False,100,20
594,2.7180759018858534,2.2315289211279166,0.3358798315999638,0.10291797044514034,2.8652445665066533,-0.07358433231039996,30,75,30,120,14,0.27,30,30,14,True,50,4,0.015,True,200,30
469,2.701955940186025,2.0418896310869243,0.29375539472954726,0.09331343152124358,2.806688313077787,-0.0523661864458812,30,100,80,200,14,0.2,20,30,14,False,30,8,,True,50,20
236,2.694397891698809,2.125413352562015,0.31260391126952847,0.0981743556331925,2.8197878023372818,-0.06269495531923641,10,100,80,200,14,0.25,20,30,15,False,50,4,0.02,True,200,20
550,2.684237502593759,2.1719009180917177,0.32289008828122756,0.10067414889107415,2.82977804612564,-0.07277027176594042,15,75,20,150,10,0.33,30,15,11,False,100,8,0.015,True,50,30
167,2.6780767085309094,2.359114306244859,0.3629466483330601,0.1103817980173147,2.8604352508376536,-0.09117927115337199,30,100,20,120,20,0.4,15,30,13,False,50,10,,False,100,30
367,2.6690020932650005,2.254262644322644,0.34077383684801976,0.1059938607497943,2.8196290301496703,-0.07531346844233489,30,75,20,120,14,0.35,20,30,14,False,100,6,0.02,True,200,30
155,2.659667909856985,2.0823053450211115,0.30293620621063155,0.09720431995733977,2.7709020777861566,-0.055617083964585645,25,100,80,200,20,0.25,15,30,14,True,30,8,0.02,False,100,30
485,2.653761837151642,2.011997696124683,0.2868901646159101,0.09211977288735665,2.78409964789356,-0.06516890537095898,15,75,80,200,14,0.33,30,20,12,True,100,3,0.01,True,50,30
798,2.6532301302991046,2.3434075527167795,0.3596658436162774,0.11079196367029846,2.828501706218714,-0.08763578795980465,20,200,50,250,20,0.33,30,30,14,False,200,10,0.02,False,200,30
838,2.633940381916113,2.0027834432279934,0.28476080762276634,0.09272559811115189,2.7486531346899072,-0.05735637638689706,20,75,80,150,20,0.25,30,30,12,True,200,4,0.03,True,200,30
580,2.6307696409005104,2.2258266362818326,0.33464727644240266,0.10617426752429511,2.771882859682589,-0.07055660939103936,10,125,30,120,14,0.4,30,20,11,True,50,3,0.02,False,200,30
313,2.62183864325341,2.2414441334336246,0.33801823057853064,0.10706803647539788,2.7731928707932565,-0.07567711376992337,15,200,20,150,20,0.15,15,25,13,True,100,3,0.03,False,50,30
761,2.6211348141873243,2.365291238265591,0.3642330516738632,0.11314660777314248,2.801609432981551,-0.09023730939711339,25,125,20,120,20,0.27,15,25,13,False,200,4,0.04,False,50,20
434,2.6156455150109434,2.015615921041702,0.2877246094982584,0.09318071117109823,2.7604116643107592,-0.0723830746499079,30,125,80,200,20,0.25,15,15,10,False,30,3,0.01,False,50,30
637,2.6123942992384466,1.9715986450594414,0.27750738144185605,0.09155541463024006,2.7207671532613302,-0.05418642701144194,30,125,80,200,14,0.15,20,20,10,True,100,4,,True,50,10
491,2.6093324302075334,2.070866302877881,0.3003493631424883,0.09674630097517782,2.7630181230860025,-0.07684284643923456,15,75,50,200,20,0.35,30,30,13,True,200,10,0.02,False,200,20
255,2.6085648971547575,2.179664506713821,0.3245941617727286,0.10394495871153779,2.7563380345856623,-0.0738865687154524,25,125,20,120,20,0.33,15,15,10,False,100,3,0.04,False,100,30
219,2.606977482480608,2.2532153742724885,0.340549080622333,0.10810512492637124,2.7651016877722236,-0.07906210264580771,10,100,30,120,10,0.25,15,30,14,False,30,3,0.02,True,200,30
611,2.606335400402786,2.1163739346276462,0.31058712623950524,0.10065253602656053,2.737534107978871,-0.06559935378804238,20,75,20,150,10,0.2,15,15,10,False,200,4,0.04,False,100,20
115,2.604979128199398,2.0640602078961976,0.29880588561925725,0.09805158217737572,2.715420795196404,-0.05522083349850304,10,100,80,200,20,0.25,20,25,13,False,100,4,0.02,False,200,20
763,2.603723140622253,1.9913923898239871,0.28211973145027547,0.09230758408340775,2.738389030144075,-0.06733294476091112,20,100,80,200,14,0.35,30,20,12,True,200,3,0.03,False,200,30
765,2.597974711162242,2.246843178532839,0.33918009263519444,0.1078353615166797,2.7622731768059046,-0.08214923282183118,30,100,30,120,10,0.15,30,20,12,False,30,8,,False,200,10
