name,score,final_equity,cagr,vol,sharpe,max_drawdown,sizing_mode,vol_target,vol_window,confirm_size_one,confirm_size_both
confirm_one1.0_both1.5,39.51734051521461,2.7407237349491713,0.43870330168843386,0.12989791143334609,2.865145522539727,-0.07446476157700999,confirm,0.1,100,1.0,1.5
confirm_one0.5_both1.5,32.99217995110521,2.402390670783049,0.3719145276119702,0.12300457612605623,2.632176115603561,-0.07127036635389838,confirm,0.1,100,0.5,1.5
confirm_one1.0_both1.0,28.794736529832857,2.148999884977813,0.31784061628226357,0.09375904312146532,2.990524912014544,-0.055521179599969495,confirm,0.1,100,1.0,1.0
confirm_one0.5_both1.0,23.13852847266044,1.8837131263360563,0.25666263810818846,0.08394838881931367,2.7633888571599172,-0.04795359993294834,confirm,0.1,100,0.5,1.0
vol_t0.15_w100,20.859349136098174,1.8534555093707705,0.2493424916058795,0.08879174663534758,2.5515732700885096,-0.06914817150737618,vol_target,0.15,100,1.0,1.5
vol_t0.15_w150,20.847322434271966,1.8527218607808837,0.2491640566567601,0.08740445935920266,2.5890364928883454,-0.0692256311324364,vol_target,0.15,150,1.0,1.5
vol_t0.15_w50,20.320061131316983,1.8438657147467856,0.24700652939974543,0.08957799232325338,2.5090713508225666,-0.073333045912919,vol_target,0.15,50,1.0,1.5
vol_t0.15_w200,20.09686221991825,1.8223259138743433,0.24173122478119602,0.08452337063089303,2.6037516787247257,-0.06939122516883955,vol_target,0.15,200,1.0,1.5
vol_t0.12_w150,18.754596399673133,1.7329009228582748,0.2193933214354482,0.07460958343226462,2.695845574711206,-0.057049848804072156,vol_target,0.12,150,1.0,1.5
vol_t0.12_w200,18.424635375030267,1.721152788356147,0.21640436193555357,0.07157056059614295,2.7729206865130513,-0.0578239574925572,vol_target,0.12,200,1.0,1.5
vol_t0.12_w100,17.9216107369735,1.7140275430400127,0.21458519960774325,0.07539583064875832,2.616115825175873,-0.06173919959076557,vol_target,0.12,100,1.0,1.5
vol_t0.12_w50,16.340165081928966,1.657829796742327,0.200064871518298,0.07658364261374821,2.4196756716311625,-0.06274606816271688,vol_target,0.12,50,1.0,1.5
vol_t0.1_w50,15.680379159491837,1.6124724241070623,0.18811430018333697,0.06689399331230059,2.610165735860761,-0.05591572256571553,vol_target,0.1,50,1.0,1.5
vol_t0.1_w200,14.415416690273357,1.544483113634477,0.16979138573657337,0.05991219782928849,2.6475347760941257,-0.047971175945888844,vol_target,0.1,200,1.0,1.5
vol_t0.1_w150,14.134775116610308,1.5234818570955093,0.16402763095423878,0.06085495886877957,2.5262924140635135,-0.043226795757608905,vol_target,0.1,150,1.0,1.5
vol_t0.1_w100,13.02498330565881,1.5052931235726148,0.15899458503373198,0.06305270507310046,2.37167234955997,-0.051228241465462565,vol_target,0.1,100,1.0,1.5
vol_t0.08_w150,12.94258896711593,1.4756781859574926,0.15071591561809106,0.05143031444131657,2.755308081997267,-0.04222278598989082,vol_target,0.08,150,1.0,1.5
vol_t0.08_w200,12.34094406540042,1.4472307537754787,0.14266300152127043,0.048526858454369985,2.772454056051999,-0.039387032907746033,vol_target,0.08,200,1.0,1.5
vol_t0.08_w50,12.196530078663196,1.4544608583673115,0.14471922534607762,0.05448693518551941,2.5078197543977505,-0.04325340546091272,vol_target,0.08,50,1.0,1.5
vol_t0.08_w100,11.573732580179845,1.4356837586223874,0.13936540267691488,0.05252524057096654,2.5102314759632534,-0.04451253043286596,vol_target,0.08,100,1.0,1.5
