variant,ema_sep,nochop,base_slope,corr,disabled,pnl_total_pct,sharpe_mean,maxdd_worst_pct,trades_total
best_trend__no-base_slope__no-corr,1,1,0,0,"base_slope,corr",258.81,3.9866666666666664,-11.05,1205
best_trend__no-corr,1,1,1,0,corr,256.71000000000004,3.98,-11.27,1205
best_trend__no-ema_sep__no-base_slope__no-corr,0,1,0,0,"base_slope,corr,ema_sep",243.59,3.776666666666667,-18.36,1687
best_trend__no-ema_sep__no-corr,0,1,1,0,"corr,ema_sep",241.93,3.7733333333333334,-17.78,1686
best_trend__no-ema_sep__no-nochop__no-corr,0,0,1,0,"corr,ema_sep,nochop",244.01999999999998,3.313333333333333,-21.71,1869
best_trend__no-base_slope,1,1,0,1,base_slope,408.46999999999997,3.1999999999999997,-20.99,1196
best_trend__all_on,1,1,1,1,(none),404.3,3.19,-20.99,1196
best_trend__no-ema_sep__no-nochop__no-base_slope__no-corr,0,0,0,0,"base_slope,corr,ema_sep,nochop",240.39,3.1833333333333336,-24.56,1921
best_trend__no-nochop__no-corr,1,0,1,0,"corr,nochop",243.73999999999998,3.1733333333333333,-12.39,1341
best_trend__no-ema_sep__no-base_slope,0,1,0,1,"base_slope,ema_sep",380.28999999999996,3.06,-33.86,1677
best_trend__no-ema_sep,0,1,1,1,ema_sep,376.71,3.0533333333333332,-33.84,1676
best_trend__no-nochop__no-base_slope__no-corr,1,0,0,0,"base_slope,corr,nochop",238.28,2.9499999999999997,-15.46,1373
best_trend__no-ema_sep__no-nochop,0,0,1,1,"ema_sep,nochop",360.63,2.5766666666666667,-34.87,1859
best_trend__no-ema_sep__no-nochop__no-base_slope,0,0,0,1,"base_slope,ema_sep,nochop",351.71999999999997,2.433333333333333,-39.61,1910
best_trend__no-nochop,1,0,1,1,nochop,360.19999999999993,2.33,-22.69,1332
best_trend__no-nochop__no-base_slope,1,0,0,1,"base_slope,nochop",347.51,2.06,-28.54,1363
