variant,file,ema_sep,nochop,base_slope,corr,disabled,period,PnL_pct,MaxDD_pct,Sharpe,WinRate,ProfitFactor,AvgWin,AvgLoss,Trades
best_trend__all_on,best_trend__all_on.html,1,1,1,1,(none),2021-2022,-0.24,-20.66,0.1,37.02,1.02,1.14,-0.67,415
best_trend__all_on,best_trend__all_on.html,1,1,1,1,(none),2023-2025,293.92,-14.57,2.63,39.78,1.71,1.15,-0.45,739
best_trend__all_on,best_trend__all_on.html,1,1,1,1,(none),2026,110.62,-20.99,6.84,37.21,2.93,7.65,-1.55,42
best_trend__no-base_slope,best_trend__no-base_slope.html,1,1,0,1,base_slope,2021-2022,-0.41,-20.24,0.1,37.17,1.01,1.13,-0.67,416
best_trend__no-base_slope,best_trend__no-base_slope.html,1,1,0,1,base_slope,2023-2025,298.26,-14.29,2.66,39.84,1.71,1.15,-0.45,738
best_trend__no-base_slope,best_trend__no-base_slope.html,1,1,0,1,base_slope,2026,110.62,-20.99,6.84,37.21,2.93,7.65,-1.55,42
best_trend__no-base_slope__no-corr,best_trend__no-base_slope__no-corr.html,1,1,0,0,"base_slope,corr",2021-2022,2.57,-11.05,0.17,37.17,1.03,0.63,-0.37,416
best_trend__no-base_slope__no-corr,best_trend__no-base_slope__no-corr.html,1,1,0,0,"base_slope,corr",2023-2025,172.02,-9.57,2.69,39.54,1.68,0.83,-0.33,746
best_trend__no-base_slope__no-corr,best_trend__no-base_slope__no-corr.html,1,1,0,0,"base_slope,corr",2026,84.22,-10.98,9.1,36.36,3.78,5.41,-0.82,43
best_trend__no-corr,best_trend__no-corr.html,1,1,1,0,corr,2021-2022,2.66,-11.27,0.18,37.02,1.03,0.63,-0.37,415
best_trend__no-corr,best_trend__no-corr.html,1,1,1,0,corr,2023-2025,169.83,-9.73,2.66,39.49,1.68,0.84,-0.33,747
best_trend__no-corr,best_trend__no-corr.html,1,1,1,0,corr,2026,84.22,-10.98,9.1,36.36,3.78,5.41,-0.82,43
best_trend__no-ema_sep,best_trend__no-ema_sep.html,0,1,1,1,ema_sep,2021-2022,-22.11,-33.84,-0.26,34.69,0.95,1.48,-0.84,613
best_trend__no-ema_sep,best_trend__no-ema_sep.html,0,1,1,1,ema_sep,2023-2025,253.16,-26.63,1.97,37.72,1.41,1.23,-0.54,1018
best_trend__no-ema_sep,best_trend__no-ema_sep.html,0,1,1,1,ema_sep,2026,145.66,-21.54,7.45,36.96,3.22,8.24,-1.5,45
best_trend__no-ema_sep__no-base_slope,best_trend__no-ema_sep__no-base_slope.html,0,1,0,1,"base_slope,ema_sep",2021-2022,-22.14,-33.86,-0.26,34.8,0.94,1.46,-0.84,614
best_trend__no-ema_sep__no-base_slope,best_trend__no-ema_sep__no-base_slope.html,0,1,0,1,"base_slope,ema_sep",2023-2025,256.77,-26.36,1.99,37.82,1.42,1.22,-0.53,1018
best_trend__no-ema_sep__no-base_slope,best_trend__no-ema_sep__no-base_slope.html,0,1,0,1,"base_slope,ema_sep",2026,145.66,-21.54,7.45,36.96,3.22,8.24,-1.5,45
best_trend__no-ema_sep__no-base_slope__no-corr,best_trend__no-ema_sep__no-base_slope__no-corr.html,0,1,0,0,"base_slope,corr,ema_sep",2021-2022,-9.37,-18.36,-0.27,34.8,0.94,0.71,-0.41,614
best_trend__no-ema_sep__no-base_slope__no-corr,best_trend__no-ema_sep__no-base_slope__no-corr.html,0,1,0,0,"base_slope,corr,ema_sep",2023-2025,151.31,-16.45,2.11,37.68,1.43,0.84,-0.36,1027
best_trend__no-ema_sep__no-base_slope__no-corr,best_trend__no-ema_sep__no-base_slope__no-corr.html,0,1,0,0,"base_slope,corr,ema_sep",2026,101.65,-11.56,9.49,36.17,4.03,5.69,-0.8,46
best_trend__no-ema_sep__no-corr,best_trend__no-ema_sep__no-corr.html,0,1,1,0,"corr,ema_sep",2021-2022,-9.21,-17.78,-0.26,34.69,0.94,0.72,-0.41,613
best_trend__no-ema_sep__no-corr,best_trend__no-ema_sep__no-corr.html,0,1,1,0,"corr,ema_sep",2023-2025,149.49,-16.69,2.09,37.59,1.43,0.84,-0.36,1027
best_trend__no-ema_sep__no-corr,best_trend__no-ema_sep__no-corr.html,0,1,1,0,"corr,ema_sep",2026,101.65,-11.56,9.49,36.17,4.03,5.69,-0.8,46
best_trend__no-ema_sep__no-nochop,best_trend__no-ema_sep__no-nochop.html,0,0,1,1,"ema_sep,nochop",2021-2022,-0.2,-34.22,0.14,35.11,1.01,1.33,-0.73,694
best_trend__no-ema_sep__no-nochop,best_trend__no-ema_sep__no-nochop.html,0,0,1,1,"ema_sep,nochop",2023-2025,246.7,-34.87,1.66,38.12,1.3,1.41,-0.68,1120
