period,variant,pnl_pct,maxdd_pct,sharpe,n_trades
2021-2022,prod_like,11.945300000000469,-18.057717516921613,0.3818277691510605,416
2021-2022,engine_lag2,9.673049999999428,-16.844071062900458,0.3336230617978602,416
2021-2022,engine_lag0_DANGER,10.016200000000275,-16.185234652488433,0.3384928544529946,416
2021-2022,htf_extra_shift1,5.732650000000761,-20.869550670814906,0.24341716246704334,414
2021-2022,corr_shift0_DANGER,8.30765000000049,-18.999490983196697,0.30108381214402163,416
2021-2022,size_shift0_DANGER,8.30765000000049,-18.999490983196697,0.30108381214402163,416
2023-2025,prod_like,325.43765000000013,-15.602895543925799,2.642252987901618,745
2023-2025,engine_lag2,346.67604999999907,-13.636873655087744,2.823883291699366,745
2023-2025,engine_lag0_DANGER,323.9256999999998,-15.777054787758061,2.625066735573151,745
2023-2025,htf_extra_shift1,327.95389999999907,-15.703380058470485,2.6822311257869575,740
2023-2025,corr_shift0_DANGER,325.26230000000015,-15.616112156819572,2.65175186127086,744
2023-2025,size_shift0_DANGER,324.5124500000001,-15.616112156819572,2.64700782207371,745
2026,prod_like,126.06124999999912,-20.990034155243155,7.571885458920072,43
2026,engine_lag2,122.33370000000012,-20.13205463418344,7.358559930098685,43
2026,engine_lag0_DANGER,124.70284999999906,-16.541159773000036,7.624567235471645,43
2026,htf_extra_shift1,116.12935000000033,-16.818558409279362,7.376965724460873,44
2026,corr_shift0_DANGER,124.35974999999897,-20.990034155243155,7.432493718317592,43
2026,size_shift0_DANGER,124.35974999999897,-20.990034155243155,7.432493718317592,43
