config_id,config_idx,period,pnl_usd,max_drawdown,sharpe,win_rate,profit_factor,trades,corr_logic,corr_window_xag,corr_min_abs_xag,corr_flip_lookback_xag,corr_max_flips_xag,corr_window_eur,corr_min_abs_eur,corr_flip_lookback_eur,corr_max_flips_eur
70040da30a43,1,2021-2022,-40.35299999999688,-0.1866482539088089,-0.004014375782751334,37.170263788968825,0.99849531438899,416,or,40,0.1,75,3,50,0.2,100,2
70040da30a43,1,2023-2025,2801.3865000000023,-0.14228682402598314,2.649012950805198,39.46308724832215,1.710252626637965,745,or,40,0.1,75,3,50,0.2,100,2
70040da30a43,1,2026,1214.7784999999903,-0.17924636840452068,7.8366370371751435,36.36363636363637,3.4964172851375825,43,or,40,0.1,75,3,50,0.2,100,2
ac1e63e75735,2,2021-2022,-3.9819999999954234,-0.17759423324446766,0.09434127297908322,37.170263788968825,1.0130757932751724,416,or,40,0.1,150,3,100,0.2,25,0
ac1e63e75735,2,2023-2025,2819.228500000006,-0.14898225106105656,2.564799393666474,39.46308724832215,1.6740678386458197,745,or,40,0.1,150,3,100,0.2,25,0
ac1e63e75735,2,2026,1204.6944999999896,-0.20990034155243154,7.49179221173382,36.36363636363637,3.286190301082202,43,or,40,0.1,150,3,100,0.2,25,0
09363361276c,3,2021-2022,10.567000000001826,-0.1528381515296282,0.1197926866312558,38.93129770992366,1.0650490897129037,261,and,40,0.35,150,6,50,0.3,50,2
09363361276c,3,2023-2025,685.4860000000026,-0.15921518565968662,1.1368905930415973,39.33161953727507,1.3843688213420648,389,and,40,0.35,150,6,50,0.3,50,2
09363361276c,3,2026,673.404999999997,-0.18519817263652016,4.936740222735753,40.0,4.897813478689308,14,and,40,0.35,150,6,50,0.3,50,2
7414e954e9b0,4,2021-2022,-103.06399999999712,-0.20035238965998092,-0.18349452977133668,37.2168284789644,0.9502035946852413,308,and,60,0.1,150,4,75,0.25,75,3
7414e954e9b0,4,2023-2025,1611.1900000000073,-0.11511215203232605,1.9841368507485508,40.0,1.6018170361248116,505,and,60,0.1,150,4,75,0.25,75,3
7414e954e9b0,4,2026,610.9969999999939,-0.19183146008026086,4.182840652943066,38.095238095238095,2.849652082151485,20,and,60,0.1,150,4,75,0.25,75,3
c4de44ccedb0,5,2021-2022,27.214000000002898,-0.11312296355555451,0.16842370425553185,37.170263788968825,1.0417569244049656,416,or,50,0.2,150,4,40,0.4,75,0
c4de44ccedb0,5,2023-2025,2145.136500000002,-0.12688082350622631,2.6252253912396197,39.620081411126186,1.7329242149833808,737,or,50,0.2,150,4,40,0.4,75,0
c4de44ccedb0,5,2026,1045.4959999999946,-0.14312861044643022,7.952137199478181,37.2093023255814,3.8727822795519633,42,or,50,0.2,150,4,40,0.4,75,0
