period,date,deepen_usd_total,recover_usd_total,deepen_usd_inpos,deepen_usd_flat,min_dd_pct,min_dd_usd,bars,inpos_frac,ema_sep_ok_frac,nochop_ok_frac,corr_ok_frac,fomc_allow_frac,deepen_usd_ema_sep_bad,deepen_usd_nochop_bad,deepen_usd_corr_bad,deepen_usd_fomc_blocked
2021-2022,2021-01-03,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-2022,2021-01-04,35.788000000001375,27.781000000001313,35.788000000001375,0.0,-0.008251963359157677,-8.386000000000422,276,0.21739130434782608,0.8260869565217391,0.6086956521739131,0.7681159420289855,1.0,0.0,0.0,0.0,0.0
2021-2022,2021-01-05,109.18500000000131,104.34600000000137,106.92900000000145,2.255999999999858,-0.028660082907806417,-29.169000000000324,276,0.463768115942029,1.0,0.6847826086956522,1.0,1.0,0.0,2.79300000000012,0.0,0.0
2021-2022,2021-01-06,29.202000000000226,23.82900000000018,29.202000000000226,0.0,-0.019135215970020214,-19.47499999999991,276,0.06159420289855073,0.717391304347826,0.16304347826086957,1.0,1.0,0.0,0.0,0.0,0.0
2021-2022,2021-01-07,0.0,0.0,0.0,0.0,-0.017901129640965463,-18.21900000000005,276,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-2022,2021-01-08,0.0,0.0,0.0,0.0,-0.017901129640965463,-18.21900000000005,265,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-2022,2021-01-10,0.0,0.0,0.0,0.0,-0.017901129640965463,-18.21900000000005,11,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-2022,2021-01-11,0.0,0.0,0.0,0.0,-0.017901129640965463,-18.21900000000005,276,0.0,0.0,0.43478260869565216,1.0,1.0,0.0,0.0,0.0,0.0
2021-2022,2021-01-12,0.0,0.0,0.0,0.0,-0.017901129640965463,-18.21900000000005,276,0.0,0.0,0.4673913043478261,1.0,1.0,0.0,0.0,0.0,0.0
2021-2022,2021-01-13,0.0,0.0,0.0,0.0,-0.017901129640965463,-18.21900000000005,276,0.0,0.0,0.41304347826086957,1.0,1.0,0.0,0.0,0.0,0.0
2021-2022,2021-01-14,0.0,0.0,0.0,0.0,-0.017901129640965463,-18.21900000000005,276,0.0,0.0,0.2608695652173913,1.0,1.0,0.0,0.0,0.0,0.0
2021-2022,2021-01-15,0.0,0.0,0.0,0.0,-0.017901129640965463,-18.21900000000005,265,0.0,0.0,0.5886792452830188,1.0,1.0,0.0,0.0,0.0,0.0
2021-2022,2021-01-17,0.0,0.0,0.0,0.0,-0.017901129640965463,-18.21900000000005,11,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-2022,2021-01-18,0.0,0.0,0.0,0.0,-0.017901129640965463,-18.21900000000005,228,0.0,0.0,0.6052631578947368,1.0,1.0,0.0,0.0,0.0,0.0
2021-2022,2021-01-19,0.0,0.0,0.0,0.0,-0.017901129640965463,-18.21900000000005,276,0.0,0.0,0.75,1.0,1.0,0.0,0.0,0.0,0.0
2021-2022,2021-01-20,107.94400000000269,116.56900000000269,106.47400000000243,1.4700000000002547,-0.02529255804551822,-25.776000000000295,276,0.7463768115942029,0.9130434782608695,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-2022,2021-01-21,70.88399999999865,57.98199999999861,69.47799999999916,1.4059999999994943,-0.02393647815651656,-24.394000000000233,276,0.32608695652173914,1.0,0.5978260869565217,1.0,1.0,0.0,5.188999999999396,0.0,0.0
