period,peak_ts,trough_ts,recovery_ts,peak_equity,trough_equity,max_dd_pct,max_dd_usd,to_trough_bars,to_recovery_bars
2021-2022,2022-03-08 17:00:00+00:00,2022-10-03 14:45:00+00:00,,1344.371499999998,1136.092499999998,-0.15492667019495754,-208.279,60165.0,
2021-2022,2021-05-07 12:55:00+00:00,2021-07-28 22:40:00+00:00,2022-02-11 20:25:00+00:00,1146.1879999999996,1017.7084999999972,-0.11209286783669214,-128.47950000000242,23733.0,80730.0
2021-2022,2022-02-24 11:00:00+00:00,2022-03-01 09:05:00+00:00,2022-03-08 15:10:00+00:00,1301.1699999999983,1207.7314999999978,-0.07181113920548476,-93.43850000000043,1417.0,3506.0
2021-2022,2021-03-15 01:30:00+00:00,2021-03-25 07:15:00+00:00,2021-04-15 14:10:00+00:00,1047.8619999999996,973.8769999999981,-0.07060567135748941,-73.98500000000149,2949.0,9080.0
2021-2022,2021-01-20 09:20:00+00:00,2021-02-01 15:55:00+00:00,2021-03-11 02:10:00+00:00,1019.114,956.5129999999999,-0.061426886491599664,-62.60100000000011,3535.0,14314.0
2021-2022,2021-04-16 12:40:00+00:00,2021-04-21 13:25:00+00:00,2021-05-06 13:40:00+00:00,1072.8929999999978,1017.6999999999989,-0.05144315416355494,-55.19299999999885,1449.0,5772.0
2021-2022,2021-01-04 23:25:00+00:00,2021-01-05 15:15:00+00:00,2021-01-20 09:10:00+00:00,1017.7570000000001,988.5879999999997,-0.028660082907806417,-29.169000000000324,190.0,4437.0
2021-2022,2022-03-08 15:45:00+00:00,2022-03-08 16:00:00+00:00,2022-03-08 17:00:00+00:00,1334.1234999999983,1299.9094999999984,-0.025645301952930133,-34.21399999999994,3.0,15.0
2021-2022,2022-02-22 00:15:00+00:00,2022-02-23 20:30:00+00:00,2022-02-24 03:05:00+00:00,1197.4059999999981,1167.2179999999976,-0.025211164801245856,-30.188000000000557,531.0,610.0
2021-2022,2022-02-15 06:20:00+00:00,2022-02-16 15:35:00+00:00,2022-02-17 08:40:00+00:00,1154.074999999998,1126.0979999999986,-0.024241925351471516,-27.976999999999407,399.0,604.0
2021-2022,2022-02-18 00:30:00+00:00,2022-02-18 20:10:00+00:00,2022-02-21 23:05:00+00:00,1189.2709999999984,1162.340999999998,-0.022644124005378408,-26.93000000000029,236.0,1135.0
2021-2022,2022-02-24 04:20:00+00:00,2022-02-24 05:00:00+00:00,2022-02-24 09:40:00+00:00,1247.3829999999984,1224.887999999998,-0.018033755470453272,-22.495000000000346,8.0,64.0
2021-2022,2022-02-11 20:25:00+00:00,2022-02-14 16:35:00+00:00,2022-02-15 02:40:00+00:00,1146.3879999999983,1127.9229999999982,-0.016107112077237473,-18.465000000000146,818.0,939.0
2021-2022,2022-02-17 09:30:00+00:00,2022-02-17 11:40:00+00:00,2022-02-17 13:35:00+00:00,1170.210999999998,1151.8309999999983,-0.015706569157185934,-18.379999999999654,26.0,49.0
2021-2022,2022-02-17 13:45:00+00:00,2022-02-17 14:20:00+00:00,2022-02-17 17:15:00+00:00,1179.8609999999985,1162.0979999999986,-0.015055163277708061,-17.76299999999992,7.0,42.0
2021-2022,2021-03-11 09:15:00+00:00,2021-03-11 10:05:00+00:00,2021-03-15 01:15:00+00:00,1042.351999999999,1029.0569999999993,-0.012754808356485792,-13.294999999999618,10.0,1056.0
2021-2022,2021-04-15 15:45:00+00:00,2021-04-15 20:15:00+00:00,2021-04-16 12:15:00+00:00,1067.8899999999976,1057.4199999999978,-0.009804380600998086,-10.4699999999998,54.0,246.0
2021-2022,2021-05-07 08:40:00+00:00,2021-05-07 12:20:00+00:00,2021-05-07 12:35:00+00:00,1107.309999999999,1097.3669999999993,-0.0089794185909996,-9.942999999999756,44.0,47.0
2021-2022,2022-03-08 15:10:00+00:00,2022-03-08 15:15:00+00:00,2022-03-08 15:25:00+00:00,1302.7614999999983,1291.661499999998,-0.008520362322651076,-11.100000000000364,1.0,3.0
2021-2022,2021-01-04 19:00:00+00:00,2021-01-04 19:10:00+00:00,2021-01-04 23:20:00+00:00,1016.2430000000004,1007.857,-0.008251963359157677,-8.386000000000422,2.0,52.0
2021-2022,2022-02-24 10:25:00+00:00,2022-02-24 10:35:00+00:00,2022-02-24 10:55:00+00:00,1298.8509999999983,1288.1599999999985,-0.008231121198659319,-10.690999999999804,2.0,6.0
2021-2022,2021-05-06 15:30:00+00:00,2021-05-06 19:05:00+00:00,2021-05-07 03:05:00+00:00,1101.700999999999,1092.7369999999992,-0.008136508907589213,-8.963999999999942,43.0,139.0
2021-2022,2021-05-07 05:30:00+00:00,2021-05-07 06:20:00+00:00,2021-05-07 07:20:00+00:00,1104.7269999999994,1097.6169999999997,-0.006435979205722031,-7.109999999999673,10.0,22.0
2021-2022,2022-02-21 23:15:00+00:00,2022-02-21 23:35:00+00:00,2022-02-22 00:15:00+00:00,1195.230999999998,1187.5509999999977,-0.006425536151589362,-7.680000000000291,4.0,12.0
2021-2022,2021-03-11 06:00:00+00:00,2021-03-11 07:00:00+00:00,2021-03-11 07:25:00+00:00,1034.6979999999994,1028.0999999999995,-0.006376739879655702,-6.597999999999956,12.0,17.0
2021-2022,2021-03-11 03:35:00+00:00,2021-03-11 04:35:00+00:00,2021-03-11 05:35:00+00:00,1031.981999999999,1025.5909999999994,-0.006192937473715299,-6.390999999999622,12.0,24.0
2021-2022,2022-02-24 03:10:00+00:00,2022-02-24 03:15:00+00:00,2022-02-24 03:25:00+00:00,1208.8329999999983,1201.5229999999979,-0.006047154569738256,-7.3100000000004,1.0,3.0
2021-2022,2021-05-06 14:05:00+00:00,2021-05-06 14:20:00+00:00,2021-05-06 14:50:00+00:00,1094.0129999999995,1087.4229999999993,-0.006023694416794068,-6.5900000000001455,3.0,9.0
2021-2022,2022-02-24 03:35:00+00:00,2022-02-24 03:55:00+00:00,2022-02-24 04:10:00+00:00,1214.8729999999982,1207.822999999998,-0.005803075712440875,-7.050000000000182,4.0,7.0
2021-2022,2022-02-17 18:35:00+00:00,2022-02-17 19:00:00+00:00,2022-02-17 19:35:00+00:00,1184.9309999999982,1178.9909999999986,-0.005012950121145998,-5.9399999999996,5.0,12.0
2021-2022,2022-02-17 19:35:00+00:00,2022-02-17 20:10:00+00:00,2022-02-18 00:20:00+00:00,1185.5309999999986,1179.630999999998,-0.0049766729001607946,-5.900000000000546,7.0,57.0
