variant_id,variant_label,period,pnl_pct,maxdd_pct,sharpe,trades,apply_mode,kind,n_events,events
none,No FOMC filter (reference),2021-2022,11.945300000000469,-18.057717516921613,0.3818277691510605,416,force_flat,whole_day,0,[]
none,No FOMC filter (reference),2023-2025,325.43765000000013,-15.602895543925799,2.642252987901618,745,force_flat,whole_day,0,[]
none,No FOMC filter (reference),2026,126.06124999999912,-20.990034155243155,7.571885458920072,43,force_flat,whole_day,0,[]
fomc_day_flat,Block FOMC decision *day* (UTC) — force flat,2021-2022,10.35050000000044,-17.232188754870325,0.34703925849794937,409,force_flat,whole_day,16,"[{""ts"": ""2021-01-27 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2021-03-17 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2021-04-28 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2021-06-16 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2021-07-28 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2021-09-22 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2021-11-03 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2021-12-15 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2022-01-26 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2022-03-16 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2022-05-04 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2022-06-15 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2022-07-27 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2022-09-21 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2022-11-02 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2022-12-14 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}]"
fomc_day_flat,Block FOMC decision *day* (UTC) — force flat,2023-2025,320.9077500000003,-18.635170097443787,2.5754687414093707,731,force_flat,whole_day,21,"[{""ts"": ""2023-03-22 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2023-05-03 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2023-06-14 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2023-07-26 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2023-09-20 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2023-12-13 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2024-01-31 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2024-03-20 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2024-06-12 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2024-07-31 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2024-09-18 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2024-11-07 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2024-12-18 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2025-01-29 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2025-03-19 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2025-05-07 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2025-06-18 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2025-07-30 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2025-09-17 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2025-10-29 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2025-12-10 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}]"
fomc_day_flat,Block FOMC decision *day* (UTC) — force flat,2026,79.29924999999902,-20.990034155243155,5.631632676104435,43,force_flat,whole_day,1,"[{""ts"": ""2026-01-28 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}]"
fomc_day_no_entry,"Block FOMC decision *day* (UTC) — block entries, hold segments",2021-2022,5.930100000000471,-20.822440286403754,0.24773511124994366,404,block_entry_hold_segment,whole_day,16,"[{""ts"": ""2021-01-27 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2021-03-17 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2021-04-28 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2021-06-16 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2021-07-28 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2021-09-22 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2021-11-03 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2021-12-15 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2022-01-26 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2022-03-16 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2022-05-04 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2022-06-15 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2022-07-27 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2022-09-21 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2022-11-02 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2022-12-14 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}]"
fomc_day_no_entry,"Block FOMC decision *day* (UTC) — block entries, hold segments",2023-2025,326.74845000000056,-17.26604800303031,2.627640636011266,723,block_entry_hold_segment,whole_day,21,"[{""ts"": ""2023-03-22 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2023-05-03 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2023-06-14 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2023-07-26 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2023-09-20 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2023-12-13 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2024-01-31 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2024-03-20 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2024-06-12 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2024-07-31 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2024-09-18 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2024-11-07 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2024-12-18 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2025-01-29 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2025-03-19 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2025-05-07 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2025-06-18 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2025-07-30 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2025-09-17 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2025-10-29 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}, {""ts"": ""2025-12-10 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}]"
fomc_day_no_entry,"Block FOMC decision *day* (UTC) — block entries, hold segments",2026,82.7255499999991,-20.990034155243155,6.435580338333546,42,block_entry_hold_segment,whole_day,1,"[{""ts"": ""2026-01-28 12:00:00+00:00"", ""pre"": ""12:00:00"", ""post"": ""12:00:00""}]"
fomc_19_2h_flat,Block around 19:00 UTC ±2h — force flat (approx statement time),2021-2022,11.035700000000425,-18.20283857413826,0.36121295750966287,416,force_flat,around_utc_time,16,"[{""ts"": ""2021-01-27 19:00:00+00:00"", ""pre"": ""2:00:00"", ""post"": ""2:00:00""}, {""ts"": ""2021-03-17 19:00:00+00:00"", ""pre"": ""2:00:00"", ""post"": ""2:00:00""}, {""ts"": ""2021-04-28 19:00:00+00:00"", ""pre"": ""2:00:00"", ""post"": ""2:00:00""}, {""ts"": ""2021-06-16 19:00:00+00:00"", ""pre"": ""2:00:00"", ""post"": ""2:00:00""}, {""ts"": ""2021-07-28 19:00:00+00:00"", ""pre"": ""2:00:00"", ""post"": ""2:00:00""}, {""ts"": ""2021-09-22 19:00:00+00:00"", ""pre"": ""2:00:00"", ""post"": ""2:00:00""}, {""ts"": ""2021-11-03 19:00:00+00:00"", ""pre"": ""2:00:00"", ""post"": ""2:00:00""}, {""ts"": ""2021-12-15 19:00:00+00:00"", ""pre"": ""2:00:00"", ""post"": ""2:00:00""}, {""ts"": ""2022-01-26 19:00:00+00:00"", ""pre"": ""2:00:00"", ""post"": ""2:00:00""}, {""ts"": ""2022-03-16 19:00:00+00:00"", ""pre"": ""2:00:00"", ""post"": ""2:00:00""}, {""ts"": ""2022-05-04 19:00:00+00:00"", ""pre"": ""2:00:00"", ""post"": ""2:00:00""}, {""ts"": ""2022-06-15 19:00:00+00:00"", ""pre"": ""2:00:00"", ""post"": ""2:00:00""}, {""ts"": ""2022-07-27 19:00:00+00:00"", ""pre"": ""2:00:00"", ""post"": ""2:00:00""}, {""ts"": ""2022-09-21 19:00:00+00:00"", ""pre"": ""2:00:00"", ""post"": ""2:00:00""}, {""ts"": ""2022-11-02 19:00:00+00:00"", ""pre"": ""2:00:00"", ""post"": ""2:00:00""}, {""ts"": ""2022-12-14 19:00:00+00:00"", ""pre"": ""2:00:00"", ""post"": ""2:00:00""}]"
