ttl_bars,mean_sharpe,worst_maxdd_pct,sum_pnl_pct,2021-2022_pnl_pct,2023-2025_pnl_pct,2026_pnl_pct,2021-2022_maxdd_pct,2023-2025_maxdd_pct,2026_maxdd_pct,2021-2022_sharpe,2023-2025_sharpe,2026_sharpe,2021-2022_trades,2023-2025_trades,2026_trades,d_mean_sharpe,d_worst_maxdd_pct,d_sum_pnl_pct
0,4.163333333333333,-15.22,510.78999999999996,22.83,345.01,142.95,-11.59,-15.22,-11.75,0.68,2.84,8.97,414,737,42,0.0,0.0,0.0
72,4.1066666666666665,-21.73,418.64000000000004,30.41,256.43,131.8,-15.54,-21.73,-12.82,0.93,2.38,9.01,414,737,42,-0.05666666666666664,-6.51,-92.14999999999992
144,4.11,-16.19,496.65,34.25,327.78,134.62,-12.68,-16.19,-12.54,0.98,2.77,8.58,414,737,42,-0.05333333333333279,-0.9700000000000006,-14.139999999999986
216,4.016666666666667,-14.87,506.58000000000004,26.58,347.1,132.9,-11.16,-14.87,-12.55,0.78,2.93,8.34,414,737,42,-0.1466666666666665,0.3500000000000014,-4.209999999999923
288,4.180000000000001,-15.22,517.2,23.08,351.6,142.52,-11.57,-15.22,-11.78,0.69,2.88,8.97,414,737,42,0.016666666666667496,0.0,6.410000000000082
360,4.163333333333333,-15.22,510.78999999999996,22.83,345.01,142.95,-11.59,-15.22,-11.75,0.68,2.84,8.97,414,737,42,0.0,0.0,0.0
432,4.163333333333333,-15.22,510.78999999999996,22.83,345.01,142.95,-11.59,-15.22,-11.75,0.68,2.84,8.97,414,737,42,0.0,0.0,0.0
576,4.163333333333333,-15.22,510.78999999999996,22.83,345.01,142.95,-11.59,-15.22,-11.75,0.68,2.84,8.97,414,737,42,0.0,0.0,0.0
720,4.163333333333333,-15.22,510.78999999999996,22.83,345.01,142.95,-11.59,-15.22,-11.75,0.68,2.84,8.97,414,737,42,0.0,0.0,0.0
864,4.163333333333333,-15.22,510.78999999999996,22.83,345.01,142.95,-11.59,-15.22,-11.75,0.68,2.84,8.97,414,737,42,0.0,0.0,0.0
1152,4.163333333333333,-15.22,510.78999999999996,22.83,345.01,142.95,-11.59,-15.22,-11.75,0.68,2.84,8.97,414,737,42,0.0,0.0,0.0
1440,4.163333333333333,-15.22,510.78999999999996,22.83,345.01,142.95,-11.59,-15.22,-11.75,0.68,2.84,8.97,414,737,42,0.0,0.0,0.0
