seg_id,entry_ts,exit_ts,size,duration_bars,ret_end,mae,mfe,variant,period
705,2022-09-13 12:20:00+00:00,2022-09-13 12:40:00+00:00,2.0,5,-0.028843025849470294,-0.028843025849470294,0.002784453696224487,shock_abs0p006,2021-2022
133,2021-05-11 11:20:00+00:00,2021-05-11 13:15:00+00:00,2.0,24,-0.02792236582113239,-0.02792236582113239,0.0,shock_abs0p006,2021-2022
525,2022-03-07 23:50:00+00:00,2022-03-08 01:30:00+00:00,2.0,21,-0.026411765098167228,-0.026411765098167228,0.002149721850314368,shock_abs0p006,2021-2022
819,2022-12-27 15:40:00+00:00,2022-12-27 19:50:00+00:00,2.0,51,-0.026259333347903757,-0.026259333347903757,0.0,shock_abs0p006,2021-2022
523,2022-03-07 08:55:00+00:00,2022-03-07 12:55:00+00:00,2.0,49,-0.022575022906070275,-0.022953362357301055,0.008234265942643537,shock_abs0p006,2021-2022
21,2021-01-25 14:35:00+00:00,2021-01-25 15:30:00+00:00,2.0,12,-0.017238299930364742,-0.02043210136682283,0.00367242012486213,shock_abs0p006,2021-2022
531,2022-03-08 22:00:00+00:00,2022-03-09 01:25:00+00:00,2.0,30,-0.010493969692241478,-0.019618838443494657,0.0002446146781407421,shock_abs0p006,2021-2022
237,2021-08-04 11:40:00+00:00,2021-08-04 15:45:00+00:00,2.0,50,-0.01669756121074184,-0.019542885542617072,0.025869988333234728,shock_abs0p006,2021-2022
69,2021-03-23 11:20:00+00:00,2021-03-23 13:40:00+00:00,2.0,29,-0.01618452975453588,-0.019140945056128067,0.0,shock_abs0p006,2021-2022
227,2021-07-20 11:10:00+00:00,2021-07-20 15:15:00+00:00,2.0,50,-0.011614953923741456,-0.019116670517923984,0.014598698165091628,shock_abs0p006,2021-2022
97,2021-04-19 08:20:00+00:00,2021-04-19 12:30:00+00:00,2.0,51,-0.015803978410542485,-0.01856369080540854,0.007180592375031658,shock_abs0p006,2021-2022
671,2022-08-02 14:20:00+00:00,2022-08-02 16:35:00+00:00,2.0,28,-0.01847555634485276,-0.01847555634485276,0.0,shock_abs0p006,2021-2022
215,2021-07-13 12:35:00+00:00,2021-07-13 13:00:00+00:00,2.0,6,-0.01822820210831222,-0.01822820210831222,0.005937344370135156,shock_abs0p006,2021-2022
53,2021-03-15 13:35:00+00:00,2021-03-15 15:15:00+00:00,2.0,21,-0.010573546209937557,-0.017811183082325988,0.0016926185389118942,shock_abs0p006,2021-2022
205,2021-07-08 13:05:00+00:00,2021-07-08 14:30:00+00:00,2.0,18,-0.017465538281571935,-0.017465538281571935,0.0002617574212742113,shock_abs0p006,2021-2022
325,2021-10-21 10:05:00+00:00,2021-10-21 11:50:00+00:00,2.0,22,-0.015981466900581,-0.017422049832464648,0.0,shock_abs0p006,2021-2022
151,2021-05-20 17:05:00+00:00,2021-05-20 19:25:00+00:00,2.0,29,-0.013470255985958746,-0.017049595318622157,0.0,shock_abs0p006,2021-2022
25,2021-02-01 06:20:00+00:00,2021-02-01 10:35:00+00:00,2.0,52,-0.014173336111417023,-0.016773704616113494,0.010627193358745401,shock_abs0p006,2021-2022
385,2021-12-07 13:20:00+00:00,2021-12-07 14:05:00+00:00,2.0,10,-0.01411205786336811,-0.016617561172841078,0.0,shock_abs0p006,2021-2022
187,2021-07-01 12:20:00+00:00,2021-07-01 15:45:00+00:00,2.0,42,-0.011778265200823812,-0.016531384435321095,0.008583311369514846,shock_abs0p006,2021-2022
389,2021-12-08 11:05:00+00:00,2021-12-08 12:35:00+00:00,2.0,19,-0.015378210520055391,-0.01634111872941424,0.0,shock_abs0p006,2021-2022
737,2022-11-01 12:35:00+00:00,2022-11-01 14:50:00+00:00,2.0,28,-0.010269698132291394,-0.016232497880562913,0.002060936392785928,shock_abs0p006,2021-2022
309,2021-10-12 11:10:00+00:00,2021-10-12 17:00:00+00:00,2.0,71,-0.003204849567086776,-0.014999823780265764,0.011372046850952833,shock_abs0p006,2021-2022
541,2022-03-22 04:10:00+00:00,2022-03-22 08:15:00+00:00,2.0,50,-0.014785736950141959,-0.014785736950141959,0.002817059900415586,shock_abs0p006,2021-2022
153,2021-05-21 11:20:00+00:00,2021-05-21 15:20:00+00:00,2.0,49,-0.007243531201055031,-0.014770926840062648,0.016127671885358907,shock_abs0p006,2021-2022
243,2021-08-12 23:05:00+00:00,2021-08-16 03:40:00+00:00,2.0,332,0.0445109595516886,-0.003240235938587799,0.055055504481455575,shock_abs0p006,2021-2022
233,2021-07-28 22:35:00+00:00,2021-07-29 20:20:00+00:00,2.0,262,0.039879496611509246,-3.882822248757467e-05,0.047779098476623316,shock_abs0p006,2021-2022
137,2021-05-14 10:50:00+00:00,2021-05-17 09:20:00+00:00,2.0,259,0.030471714083707413,-0.0001231180367018414,0.03825711934573617,shock_abs0p006,2021-2022
495,2022-02-17 04:20:00+00:00,2022-02-18 02:00:00+00:00,2.0,249,0.02752447055256324,-0.0037117519643534713,0.04834861889717379,shock_abs0p006,2021-2022
673,2022-08-04 01:50:00+00:00,2022-08-04 23:05:00+00:00,2.0,244,0.03607194375942169,-0.001356593514245441,0.04071155468595733,shock_abs0p006,2021-2022
49,2021-03-10 16:05:00+00:00,2021-03-11 11:40:00+00:00,2.0,224,0.02838695635678934,-0.007329112180044284,0.04066404292237946,shock_abs0p006,2021-2022
521,2022-03-04 09:45:00+00:00,2022-03-07 05:00:00+00:00,1.0,220,0.03625908686805013,-0.0024186526492308014,0.0443598811814494,shock_abs0p006,2021-2022
613,2022-06-02 09:50:00+00:00,2022-06-03 04:10:00+00:00,2.0,209,0.02068361531535312,-0.004623308564987383,0.028825713207848436,shock_abs0p006,2021-2022
409,2021-12-16 21:35:00+00:00,2021-12-17 15:30:00+00:00,2.0,204,0.017813155117963886,-0.0017722818105029292,0.028125544233937427,shock_abs0p006,2021-2022
201,2021-07-05 22:35:00+00:00,2021-07-06 15:15:00+00:00,1.0,201,0.009827769594315416,-0.0008968810652555392,0.020004148588931292,shock_abs0p006,2021-2022
505,2022-02-23 23:35:00+00:00,2022-02-24 14:45:00+00:00,2.0,183,0.04455848427169595,-0.0008155043347837232,0.10563471459029783,shock_abs0p006,2021-2022
529,2022-03-08 13:40:00+00:00,2022-03-08 17:05:00+00:00,2.0,42,0.08468742194118772,0.0,0.0892020529943911,shock_abs0p006,2021-2022
485,2022-02-11 14:35:00+00:00,2022-02-14 01:45:00+00:00,2.0,123,0.05401272107900579,0.0,0.06512002775908732,shock_abs0p006,2021-2022
311,2021-10-13 05:50:00+00:00,2021-10-13 20:10:00+00:00,2.0,173,0.05611185446523459,-0.006090637081957451,0.06289011373553599,shock_abs0p006,2021-2022
743,2022-11-04 07:35:00+00:00,2022-11-07 00:45:00+00:00,2.0,183,0.04309025231988417,-0.003846370999105009,0.05423217282848003,shock_abs0p006,2021-2022
327,2021-10-22 01:35:00+00:00,2021-10-22 16:50:00+00:00,2.0,184,0.021307949493689637,-0.0026173429125890824,0.048002288347295474,shock_abs0p006,2021-2022
91,2021-04-15 07:05:00+00:00,2021-04-15 20:10:00+00:00,2.0,158,0.036129742089828554,-0.002900363744571921,0.0453153692849233,shock_abs0p006,2021-2022
587,2024-04-12 14:15:00+00:00,2024-04-12 16:55:00+00:00,2.0,33,-0.05089775520549111,-0.05936255286932768,0.018684513276987058,shock_abs0p006,2023-2025
729,2024-08-02 13:05:00+00:00,2024-08-02 15:05:00+00:00,2.0,25,-0.03679733235024962,-0.03679733235024962,0.010415648790541132,shock_abs0p006,2023-2025
567,2024-04-02 14:30:00+00:00,2024-04-02 16:55:00+00:00,2.0,30,-0.01843261968485066,-0.028550010610832843,0.0,shock_abs0p006,2023-2025
115,2023-04-05 13:05:00+00:00,2023-04-05 15:00:00+00:00,2.0,24,-0.019836702011207685,-0.028037484915841127,0.0013788927007791774,shock_abs0p006,2023-2025
1023,2025-02-07 15:50:00+00:00,2025-02-07 17:45:00+00:00,2.0,24,-0.022632377940504433,-0.027307654065389486,1.837043663965865e-05,shock_abs0p006,2023-2025
1335,2025-09-17 18:05:00+00:00,2025-09-17 18:55:00+00:00,2.0,11,-0.026803513482089203,-0.026803513482089203,0.008520360166644148,shock_abs0p006,2023-2025
53,2023-02-09 14:20:00+00:00,2023-02-09 15:40:00+00:00,2.0,17,-0.026163148709414497,-0.026163148709414497,0.0,shock_abs0p006,2023-2025
485,2024-02-02 12:40:00+00:00,2024-02-02 13:40:00+00:00,2.0,13,-0.02592187203587737,-0.02592187203587737,0.0006025485826117727,shock_abs0p006,2023-2025
83,2023-03-16 00:20:00+00:00,2023-03-16 01:45:00+00:00,2.0,18,-0.024913417593404374,-0.024913417593404374,0.0,shock_abs0p006,2023-2025
139,2023-04-26 13:50:00+00:00,2023-04-26 16:05:00+00:00,2.0,28,-0.023954182130117463,-0.023954182130117463,0.0,shock_abs0p006,2023-2025
743,2024-08-15 06:50:00+00:00,2024-08-15 13:20:00+00:00,2.0,79,-0.014000334041074924,-0.023348962423770603,0.01426598430346071,shock_abs0p006,2023-2025
169,2023-05-24 11:50:00+00:00,2023-05-24 14:35:00+00:00,2.0,34,-0.017759401171669298,-0.02202616573240601,0.0031638461742822255,shock_abs0p006,2023-2025
473,2024-01-30 14:30:00+00:00,2024-01-30 17:00:00+00:00,2.0,31,-0.015328646009771796,-0.022008149033858948,0.0,shock_abs0p006,2023-2025
85,2023-03-16 12:05:00+00:00,2023-03-16 15:50:00+00:00,2.0,46,-0.01860062460557599,-0.02179197433975011,0.007247510297721416,shock_abs0p006,2023-2025
1471,2025-12-28 23:15:00+00:00,2025-12-29 00:45:00+00:00,2.0,19,-0.02019307078902466,-0.021339020284760646,0.0030592738570471845,shock_abs0p006,2023-2025
553,2024-03-26 11:20:00+00:00,2024-03-26 14:30:00+00:00,2.0,39,-0.019336696041345025,-0.021243366269357633,0.0,shock_abs0p006,2023-2025
775,2024-08-29 10:00:00+00:00,2024-08-29 13:00:00+00:00,2.0,37,-0.016002166161054765,-0.020660458322026898,0.0007454894402556533,shock_abs0p006,2023-2025
591,2024-04-16 03:50:00+00:00,2024-04-16 06:50:00+00:00,2.0,37,-0.016722151987849876,-0.020377007971693062,0.001639191200244916,shock_abs0p006,2023-2025
469,2024-01-29 14:00:00+00:00,2024-01-29 16:10:00+00:00,2.0,27,-0.014771966853663443,-0.020187473054715688,0.0,shock_abs0p006,2023-2025
1389,2025-10-17 04:40:00+00:00,2025-10-17 08:10:00+00:00,2.0,43,-0.019819006323272825,-0.019819006323272825,0.007194484093848708,shock_abs0p006,2023-2025
637,2024-05-31 13:50:00+00:00,2024-05-31 14:15:00+00:00,2.0,6,-0.019528645868277517,-0.019528645868277517,0.0,shock_abs0p006,2023-2025
415,2023-12-15 09:20:00+00:00,2023-12-15 13:50:00+00:00,2.0,55,-0.017350804719470703,-0.019282260643194493,0.0008720620391393652,shock_abs0p006,2023-2025
147,2023-05-03 18:05:00+00:00,2023-05-03 18:45:00+00:00,2.0,9,-0.013031060990600585,-0.019097708495141474,0.0,shock_abs0p006,2023-2025
239,2023-07-17 12:05:00+00:00,2023-07-17 13:15:00+00:00,2.0,15,-0.01677586705105205,-0.018720193895082504,0.0003368971858783709,shock_abs0p006,2023-2025
669,2024-06-21 09:15:00+00:00,2024-06-21 13:40:00+00:00,2.0,54,-0.01871828456750657,-0.01871828456750657,0.0015066789977520312,shock_abs0p006,2023-2025
1377,2025-10-12 23:05:00+00:00,2025-10-14 05:45:00+00:00,2.0,357,0.03873696018919581,-0.01354629028855392,0.07212636940993988,shock_abs0p006,2023-2025
