i,pipeline.0.params.sep_k,pipeline.0.params.ema_fast,pipeline.0.params.ema_slow,pipeline.0.params.atr_n,ok,sum_pnl,worst_maxdd,avg_sharpe,maxdd_violation
1,0.03,30,200,14,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
2,0.03,30,200,20,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
3,0.03,30,200,28,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
4,0.03,30,300,14,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
5,0.03,30,300,20,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
6,0.03,30,300,28,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
7,0.03,30,400,14,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
8,0.03,30,400,20,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
9,0.03,30,400,28,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
10,0.03,40,200,14,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
11,0.03,40,200,20,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
12,0.03,40,200,28,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
13,0.03,40,300,14,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
14,0.03,40,300,20,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
15,0.03,40,300,28,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
16,0.03,40,400,14,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
17,0.03,40,400,20,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
18,0.03,40,400,28,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
19,0.03,50,200,14,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
20,0.03,50,200,20,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
