i,pipeline.6.params.stop_ret,pipeline.7.params.bar_n,pipeline.7.params.min_ret,ok,sum_pnl,worst_maxdd,avg_sharpe,maxdd_violation
14,-0.01,24,-0.005,True,388.8523999999873,-19.391583230002418,1.3494348785722554,0.0
17,-0.01,30,-0.005,True,387.33064999998766,-19.297574541026062,1.3400286713725558,0.0
23,-0.012,24,-0.005,True,384.6154999999871,-19.589320574402237,1.3229734095600028,0.0
20,-0.012,18,-0.005,True,384.0288999999874,-19.480628253963683,1.3110787263313388,0.0
26,-0.012,30,-0.005,True,383.0937499999875,-19.496597921250537,1.3137504723504558,0.0
11,-0.01,18,-0.005,True,381.6841999999873,-19.517086692146236,1.3047035597290828,0.0
5,-0.008,24,-0.005,True,373.51649999998835,-19.377985084404038,1.3262996249047618,0.0
8,-0.008,30,-0.005,True,371.83184999998883,-19.271859971574756,1.3161679083882838,0.0
2,-0.008,18,-0.005,True,367.56789999998847,-19.62709703427815,1.288219843535177,0.0
16,-0.01,30,-0.0025,True,351.0139499999885,-19.308433811699132,1.27264960467841,0.0
19,-0.012,18,-0.0025,True,349.1866499999883,-19.597134968651687,1.2806693966199647,0.0
7,-0.008,30,-0.0025,True,348.07214999998865,-19.282800177529914,1.2641845824985183,0.0
1,-0.008,18,-0.0025,True,347.14064999998857,-19.74080740991576,1.27566565390408,0.0
10,-0.01,18,-0.0025,True,346.84194999998834,-19.632902349559423,1.2738938202707355,0.0
25,-0.012,30,-0.0025,True,346.77704999998815,-19.506822197436957,1.246033830818149,0.0
6,-0.008,24,-0.0075,False,365.9630499999889,-20.08161551781884,1.2972034946318995,0.08161551781883958
9,-0.008,30,-0.0075,False,365.57174999998887,-20.08161551781884,1.294745264688587,0.08161551781883958
15,-0.01,24,-0.0075,False,381.2989499999882,-20.096019434044386,1.320697105640333,0.09601943404438629
18,-0.01,30,-0.0075,False,379.6375499999882,-20.108715155488365,1.3111169579141149,0.10871515548836541
21,-0.012,18,-0.0075,False,381.3493499999885,-20.151564430889447,1.3153203432716745,0.15156443088944727
12,-0.01,18,-0.0075,False,379.0046499999883,-20.189111704742224,1.3088801609142182,0.18911170474222416
3,-0.008,18,-0.0075,False,363.87134999998915,-20.30240375791068,1.2846263224810195,0.30240375791068175
24,-0.012,24,-0.0075,False,377.0620499999881,-20.305524439686273,1.2946043955271223,0.3055244396862733
27,-0.012,30,-0.0075,False,375.40064999998816,-20.318486337180918,1.285074522376421,0.3184863371809179
4,-0.008,24,-0.0025,False,353.9815999999884,-20.621391413709368,1.2944302518819546,0.6213914137093681
13,-0.01,24,-0.0025,False,354.90649999998817,-20.63570456079703,1.2988511975359815,0.6357045607970306
22,-0.012,24,-0.0025,False,350.6695999999878,-20.84381440320604,1.2719620545195178,0.8438144032060393
