i,pipeline.1.params.ema,pipeline.1.params.lookback,pipeline.1.params.min_closes,pipeline.1.params.entry_held,ok,sum_pnl,worst_maxdd,avg_sharpe,maxdd_violation
25,20,40,18,False,True,429.79604999998276,-16.269308898878286,1.5133254561886278,0.0
15,15,50,24,False,True,423.80509999998355,-16.30542506904734,1.3867620393411015,0.0
33,20,50,24,False,True,419.5713499999835,-18.105800113996473,1.413494444517764,0.0
14,15,50,18,True,True,414.7509499999874,-14.32907335996163,1.478282536109056,0.0
51,25,50,24,False,True,414.20004999998315,-17.946252049508836,1.3907179721846432,0.0
43,25,40,18,False,True,413.81079999998235,-15.866112162644674,1.4142463759572994,0.0
31,20,50,18,False,True,405.363499999984,-18.537405689238472,1.3396532669274444,0.0
35,20,50,28,False,True,400.33899999998806,-16.06609947412877,1.4131502109649592,0.0
49,25,50,18,False,True,398.42844999998334,-15.108042758877582,1.326794587727946,0.0
17,15,50,28,False,True,396.48214999998635,-17.888975121804062,1.4242036272193048,0.0
52,25,50,24,True,True,393.13549999998764,-15.122633367668959,1.4519123618497949,0.0
27,20,40,24,False,True,388.8523999999873,-19.391583230002418,1.3494348785722554,0.0
13,15,50,18,False,True,387.7256499999814,-18.194679988202246,1.3056921436730367,0.0
32,20,50,18,True,True,384.57654999998726,-16.14178103281899,1.364025747227187,0.0
7,15,40,18,False,True,384.28719999998157,-19.232511384841132,1.3179451189099551,0.0
9,15,40,24,False,True,381.84899999998714,-19.1235677562415,1.3677187131912594,0.0
53,25,50,28,False,True,374.46594999998763,-16.45929310903409,1.4110908752284712,0.0
45,25,40,24,False,True,369.23879999998763,-16.452193539374605,1.325337482381101,0.0
50,25,50,18,True,True,367.4190499999877,-16.57799775130733,1.2963021252561242,0.0
37,25,30,18,False,True,361.43304999998475,-14.018692633421526,1.281317857588287,0.0
