entry_month,n_trades,sum_pnl,avg_ret,win_rate
1,136,-3.3940000000008013,-0.00019595772022684748,0.3602941176470588
2,121,181.3975000000006,0.001094875154535553,0.35537190082644626
3,145,645.0240000000016,0.0032928478071176685,0.3793103448275862
4,125,987.6824999999922,0.0035873279184707113,0.44
5,115,429.0210000000036,0.0013634376387852672,0.3826086956521739
6,100,-120.62049999999454,-0.0008225533669513495,0.24
7,153,112.68299999997862,0.0002271856513116808,0.37254901960784315
8,119,125.54449999999451,0.0010245045755155155,0.40336134453781514
9,117,426.57849999998894,0.0008793689924580379,0.39316239316239315
10,134,810.524999999984,0.0031218497521749047,0.40298507462686567
11,118,557.9909999999893,0.0018337706564499807,0.4152542372881356
12,150,-353.16849999991473,0.0003030467903018243,0.32666666666666666
