i,trend.fast,trend.slow,pipeline.0.params.sep_k,pipeline.1.params.lookback,pipeline.1.params.min_closes,pipeline.4.params.shock_exit_abs_ret,ok,sum_pnl,worst_maxdd,avg_sharpe,maxdd_violation
37,30,110,0.07,40,25,0.007,True,437.56494999998614,-15.632113308217544,1.5164997016106276,0.0
9,30,90,0.07,40,25,0.007,True,426.3603999999892,-14.001015146055028,1.4997094584078814,0.0
36,30,90,0.07,40,25,0.006,True,421.19669999999036,-14.001015146055028,1.5258380614359228,0.0
55,30,90,0.08,40,25,0.006,True,420.8711499999903,-14.001015146055028,1.5204424425344654,0.0
14,35,100,0.08,40,25,0.006,True,409.9681999999873,-14.382125228122122,1.5130403208583834,0.0
15,28,100,0.07,40,25,0.006,True,408.7560999999914,-15.678431674297366,1.511253327194469,0.0
46,35,110,0.075,45,28,0.006,True,406.13354999998853,-19.645575044345687,1.4775366794791465,0.0
57,32,90,0.07,40,25,0.006,True,401.87324999999083,-13.816850615841803,1.4938384355672678,0.0
58,32,90,0.075,40,25,0.005,True,398.49299999999084,-19.930713640643706,1.49729736455114,0.0
11,32,110,0.08,40,25,0.006,True,398.0274499999872,-16.882449627643314,1.4410800923496614,0.0
18,35,110,0.07,40,25,0.006,True,388.457449999989,-15.158938337239968,1.4074776363536385,0.0
56,32,100,0.07,35,25,0.007,True,330.7042499999917,-15.522089700081942,1.2640937359466575,0.0
3,32,100,0.08,40,28,0.007,True,330.4308499999903,-18.29706868061558,1.2945698416506914,0.0
52,30,100,0.08,40,28,0.007,True,329.81339999999096,-19.06150780408391,1.2748170086018327,0.0
47,32,100,0.07,35,25,0.006,True,322.0608499999929,-15.522089700081942,1.287285722478415,0.0
17,30,90,0.075,40,28,0.007,True,318.3871499999924,-18.44286722568994,1.2328503636915034,0.0
6,30,90,0.07,35,25,0.006,True,317.07034999999394,-17.25058231368517,1.242788291413235,0.0
60,28,110,0.08,40,28,0.006,True,309.182149999991,-17.640139904594477,1.2995949542732022,0.0
29,28,90,0.075,40,28,0.006,True,308.0279499999911,-17.063770435448312,1.2306016633803825,0.0
19,35,110,0.07,35,25,0.005,True,307.27294999999185,-15.215022533042589,1.2609255494788643,0.0
